sbd,province_code,province_name,toan,ngu_van,ngoai_ngu,vat_li,hoa_hoc,sinh_hoc,lich_su,dia_li,gdcd,tin_hoc,cong_nghe,extra
04000079,04,Cao Bằng,5.5,8,3.75,,,,9.25,,,,,
04000080,04,Cao Bằng,4.25,6.5,,,,,,4.1,,,,Giáo dục kinh tế pháp luật=4.35
04000081,04,Cao Bằng,4.25,4.25,,,,,5.75,3.75,,,,
04000082,04,Cao Bằng,8.75,7.75,9.25,,,,7,,,,,
04000083,04,Cao Bằng,5.25,5.5,,,,,6.5,4,,,,
04000084,04,Cao Bằng,7.25,8,8,6,,,,,,,,
04000085,04,Cao Bằng,7,8.5,,,8,8,,,,,,
04000086,04,Cao Bằng,7.25,8.5,7.75,,,,7.75,,,,,
04000087,04,Cao Bằng,3.25,4.25,,,,,6.2,3.35,,,,
04000088,04,Cao Bằng,4.75,5,,2.6,,,3.3,,,,,
04000089,04,Cao Bằng,,6.25,,,,,,5.35,,,,Giáo dục kinh tế pháp luật=5.75
04000090,04,Cao Bằng,2.5,5.75,,,,,,2.6,,,,Giáo dục kinh tế pháp luật=3.45
04000091,04,Cao Bằng,3.75,5.75,,,,3.05,3.85,,,,,
04000092,04,Cao Bằng,3.5,6.5,,,,,6.6,5.5,,,,
04000093,04,Cao Bằng,7.25,7,4.25,4.6,,,,,,,,
04000094,04,Cao Bằng,4.25,6,,,,,,4,,,,Giáo dục kinh tế pháp luật=6.75
04000095,04,Cao Bằng,5.5,7.25,2.5,2.85,,,,,,,,
04000096,04,Cao Bằng,4.75,7.25,4.25,4.25,,,,,,,,
04000097,04,Cao Bằng,4.5,9,,,,,8,6.1,,,,
04000098,04,Cao Bằng,2.25,3.25,,,,,3.85,4.2,,,,
04000099,04,Cao Bằng,5.5,,4.75,3.5,,,,,,,,
04000100,04,Cao Bằng,5.5,7.25,4,3.5,,,,,,,,
04000101,04,Cao Bằng,5.5,8,,,,,8.25,6.5,,,,
04000102,04,Cao Bằng,3.85,5.5,,,,,5.6,,,,,Giáo dục kinh tế pháp luật=5.2
04000103,04,Cao Bằng,9.25,8.25,8.5,,,,8.25,,,,,
04000104,04,Cao Bằng,2.75,6.5,,,,,6.75,5.25,,,,
04000105,04,Cao Bằng,7.5,8.25,6.25,,,4.6,,,,,,
04000106,04,Cao Bằng,4.75,6.25,3.5,,,,5.75,,,,,
04000107,04,Cao Bằng,3.2,4.25,,,,,5.5,2.45,,,,
04000108,04,Cao Bằng,6.25,4,,,,,7.5,7.25,,,,
04000110,04,Cao Bằng,3.6,4.75,,,,,7.5,6.5,,,,
04000111,04,Cao Bằng,3,6.75,,,,,,3.6,,,,Giáo dục kinh tế pháp luật=5.6
04000112,04,Cao Bằng,7.25,8.75,5.5,,,,,7,,,,
04000113,04,Cao Bằng,2.85,5,,,,,6.5,,,,,Công nghệ nông nghiệp=4.6
04000114,04,Cao Bằng,7,,,,7.75,6.1,,,,,,
04000115,04,Cao Bằng,2.1,5.25,,,,,,,,,,Công nghệ nông nghiệp=7.25; Giáo dục kinh tế pháp luật=3.7
04000116,04,Cao Bằng,4.5,6.75,4.75,,,,,,,,,Giáo dục kinh tế pháp luật=6.5
04000117,04,Cao Bằng,3.75,6.5,,,,,9.75,5,,,,
04000118,04,Cao Bằng,7.5,8,5.25,4.35,,,,,,,,
04000119,04,Cao Bằng,4,5.75,,,,,5.35,4.45,,,,
04000120,04,Cao Bằng,3.25,5,,,,,4.6,,,,,Công nghệ nông nghiệp=3.25
04000121,04,Cao Bằng,9,6.75,,8.5,7.75,,,,,,,
04000122,04,Cao Bằng,3.85,6.75,,,,,9.25,6.75,,,,
04000123,04,Cao Bằng,6.25,8.25,,,,,8.75,6.1,,,,
04000124,04,Cao Bằng,5,5.5,,,,,6.25,3.6,,,,
04000125,04,Cao Bằng,6,7.75,,3.85,6.25,,,,,,,
04000126,04,Cao Bằng,5.35,7.25,,,,,8,,,6,,
04000127,04,Cao Bằng,5.25,4.25,,,,,5.35,3.35,,,,
04000128,04,Cao Bằng,5.25,3.75,,,,,6.5,3.85,,,,
04000129,04,Cao Bằng,5.25,3.5,,,,,6.85,,,,,Giáo dục kinh tế pháp luật=4.6
04000130,04,Cao Bằng,6.1,8.75,7.25,,7.25,,,,,,,
04000131,04,Cao Bằng,5.5,7.5,4,3.85,,,,,,,,
04000132,04,Cao Bằng,5.25,4.5,,,,,6,,,,,Công nghệ nông nghiệp=5.35
04000133,04,Cao Bằng,5.75,9,5.75,,,,,7.75,,,,
04000134,04,Cao Bằng,,5,,,,,,,,,,
04000135,04,Cao Bằng,8,6,6.75,5.5,,,,,,,,
04000136,04,Cao Bằng,3.2,7.5,,,,,4.95,3.6,,,,
04000137,04,Cao Bằng,9,8.25,8.25,7.5,,,,,,,,
04000138,04,Cao Bằng,6.75,7,,,,,9,8,,,,
04000139,04,Cao Bằng,3.25,6.5,,,,,6.35,3.85,,,,
04000140,04,Cao Bằng,6.5,8,,,,,7.75,6.35,,,,
04000141,04,Cao Bằng,6.75,5,,4.35,7.5,,,,,,,
04000142,04,Cao Bằng,,4.5,,,,,5.5,4.25,,,,
04000143,04,Cao Bằng,2.5,4,,,,,3.75,,,,,Giáo dục kinh tế pháp luật=2.45
04000144,04,Cao Bằng,4,5,,,,,4.25,2.6,,,,
04000145,04,Cao Bằng,3.35,7.5,,,,,,3.85,,,,Giáo dục kinh tế pháp luật=5.85
04000146,04,Cao Bằng,,5.5,,,,,6.5,7.25,,,,
04000147,04,Cao Bằng,5.25,7.25,,3.35,5.35,,,,,,,
04000148,04,Cao Bằng,5.25,7.25,,,,,7.5,6,,,,
04000149,04,Cao Bằng,4.1,7,,,,,6.25,,,,,
04000150,04,Cao Bằng,4,5.5,3,2.25,,,,,,,,
04000151,04,Cao Bằng,8.75,7.75,,,,,7.6,,,,,Công nghệ nông nghiệp=8.5
04000152,04,Cao Bằng,7,7,,5,8.5,,,,,,,
04000153,04,Cao Bằng,4.75,5.5,,4.75,,,,,,,,Giáo dục kinh tế pháp luật=4.35
04000154,04,Cao Bằng,8.25,8,8,,,,8.75,,,,,
04000155,04,Cao Bằng,4.6,6.5,,3.6,,,6.75,,,,,
04000156,04,Cao Bằng,5,7.5,,,,,7.75,,,,,
04000157,04,Cao Bằng,5.85,7,3,,,,,,,,,
04000158,04,Cao Bằng,6.5,7,3.5,,8.5,,,,,,,
04000159,04,Cao Bằng,6.6,7,,4.5,6.5,,,,,,,
04000160,04,Cao Bằng,4,6.5,,,,5.75,7.25,,,,,
04000161,04,Cao Bằng,3.35,6.75,,,,,5.35,5.25,,,,
04000162,04,Cao Bằng,5.25,6,,,,,8,4.85,,,,
04000163,04,Cao Bằng,6.75,7,3,,,,8,,,,,
04000164,04,Cao Bằng,4.5,8,,,,,7.5,4.85,,,,
04000165,04,Cao Bằng,4,5.75,,,,,6.75,5,,,,
04000166,04,Cao Bằng,6.35,7,4.25,,,,5.75,,,,,
04000167,04,Cao Bằng,4,4.5,,,,,5.1,,,,,Công nghệ nông nghiệp=5.75
04000168,04,Cao Bằng,,6.75,,,,,4.1,3.5,,,,
04000169,04,Cao Bằng,7.25,5.75,4.5,6.5,,,,,,,,
04000170,04,Cao Bằng,7.75,7.75,7.25,,,,9.5,,,,,
04000171,04,Cao Bằng,2.25,2.75,,,,,5,3.45,,,,
04000172,04,Cao Bằng,6.5,3.25,3.25,,,,,4,,,,
04000173,04,Cao Bằng,2.6,5.25,,,,,4.25,4.85,,,,
04000174,04,Cao Bằng,4.75,7.25,,,3.55,5.5,,,,,,
04000175,04,Cao Bằng,9.5,8.5,8.5,7,,,,,,,,
04000176,04,Cao Bằng,4.6,4.75,,,,3.85,4.75,,,,,
04000177,04,Cao Bằng,8.75,7,8.5,,,,9,,,,,
04000178,04,Cao Bằng,2.35,4.5,,,,,4.7,,,,,Công nghệ công nghiệp=6.1
04000179,04,Cao Bằng,8.5,5.75,,5.75,7,,,,,,,
04000180,04,Cao Bằng,5,7,,,,,4.25,,,,,Giáo dục kinh tế pháp luật=4.35
04000181,04,Cao Bằng,4.1,6,,,,,4.85,,,,,Công nghệ nông nghiệp=8.75
04000182,04,Cao Bằng,5,6.25,,3.6,,,7.75,,,,,
04000183,04,Cao Bằng,2.1,6,,,,,6.1,,,,,Giáo dục kinh tế pháp luật=4.45
04000184,04,Cao Bằng,3.5,5.75,4.5,,,,,,,,,Giáo dục kinh tế pháp luật=5.1
04000185,04,Cao Bằng,4.1,8.75,5.75,,,,,3.25,,,,
04000186,04,Cao Bằng,6,8.25,,,,,,3.2,,,,Giáo dục kinh tế pháp luật=3.45
04000187,04,Cao Bằng,5.75,3.75,3.5,3.7,,,,,,,,
04000188,04,Cao Bằng,2.75,6,,,,,,4.2,,,,Công nghệ nông nghiệp=6.6
04000189,04,Cao Bằng,6.5,6,3.25,,,,4.5,,,,,
04000190,04,Cao Bằng,7.25,7.75,,,,,7.5,5.5,,,,
