sbd,province_code,province_name,toan,ngu_van,ngoai_ngu,vat_li,hoa_hoc,sinh_hoc,lich_su,dia_li,gdcd,tin_hoc,cong_nghe,extra
96000080,96,Cà Mau,3.1,4,,,,,2.3,,,,,Giáo dục kinh tế pháp luật=3.35
96000081,96,Cà Mau,4.5,7.75,3.75,,,,,7.5,,,,
96000082,96,Cà Mau,7,7.25,7.5,,,,9.25,,,,,
96000083,96,Cà Mau,7.75,7,5.75,5.75,,,,,,,,
96000084,96,Cà Mau,8.5,6.25,,6.1,5.25,,,,,,,
96000085,96,Cà Mau,4.75,6.58,9.25,,,,8,,,,,
96000086,96,Cà Mau,3,3.75,,,,,5.25,,,4.5,,
96000087,96,Cà Mau,5.25,5.25,,,,,,6.75,,,,Giáo dục kinh tế pháp luật=5.1
96000088,96,Cà Mau,5.75,5.75,,2.95,,,,,,5.75,,
96000089,96,Cà Mau,3.35,5.17,,3.25,,,6.25,,,,,
96000090,96,Cà Mau,4.5,6.25,3.5,,,,,6,,,,
96000091,96,Cà Mau,3,5,,,,,,4.25,,,,Giáo dục kinh tế pháp luật=3.85
96000092,96,Cà Mau,2.1,4.75,,,,,3.6,,,5.25,,
96000093,96,Cà Mau,8.25,7.25,,,8.5,8.5,,,,,,
96000094,96,Cà Mau,2.6,6.25,,2.85,,3.85,,,,,,
96000095,96,Cà Mau,9.5,7,,8,7.25,,,,,,,
96000096,96,Cà Mau,2.6,6.5,,,,,5.5,,,,,Giáo dục kinh tế pháp luật=4.1
96000097,96,Cà Mau,9,6.75,,8,8.5,,,,,,,
96000098,96,Cà Mau,6.25,8,,,,,8.5,7.75,,,,
96000099,96,Cà Mau,5.75,7.25,,,,,6.75,,,3.95,,
96000100,96,Cà Mau,8.5,5.25,,,7.1,8.25,,,,,,
96000101,96,Cà Mau,8,9,8.25,,,,,7.5,,,,
96000102,96,Cà Mau,4.5,6.25,,4.5,,,,5.75,,,,
96000103,96,Cà Mau,5.75,8.75,6,,,,8,,,,,
96000104,96,Cà Mau,8.25,6.25,8,7.75,,,,,,,,
96000105,96,Cà Mau,4.5,6.75,,,,,5,,,,,Công nghệ nông nghiệp=5.85
96000106,96,Cà Mau,5.6,6.25,,,,,7.85,8.25,,,,
96000107,96,Cà Mau,3,6,,,,,,,,4.1,,Giáo dục kinh tế pháp luật=5.6
96000108,96,Cà Mau,2.1,8,,,,,5.1,7,,,,
96000109,96,Cà Mau,8.75,6.5,,,8.5,8,,,,,,
96000110,96,Cà Mau,9,5.75,,,8,7.5,,,,,,
96000111,96,Cà Mau,8.5,5.75,,,8.5,7.75,,,,,,
96000112,96,Cà Mau,4.75,6.5,,,,,9,6.75,,,,
96000113,96,Cà Mau,6.25,7.25,,,,,,,,5.35,,Giáo dục kinh tế pháp luật=6.45
96000114,96,Cà Mau,9.5,6.75,,,8.75,8.25,,,,,,
96000115,96,Cà Mau,4,6,,,,,,4.6,,,,Giáo dục kinh tế pháp luật=4.75
96000116,96,Cà Mau,5.75,7.25,,6,8,,,,,,,
96000117,96,Cà Mau,6.5,6,,4.25,5.5,,,,,,,
96000118,96,Cà Mau,7.25,7,9.75,,,,,,,,,Giáo dục kinh tế pháp luật=6.5
96000119,96,Cà Mau,4.35,6.75,4.25,,,,,8.25,,,,
96000120,96,Cà Mau,8.25,7.83,2.75,,,,7,,,,,
96000121,96,Cà Mau,5.75,7.75,,,,,9.75,7.5,,,,
96000122,96,Cà Mau,4.25,3.5,,,,,,4.2,,,,Giáo dục kinh tế pháp luật=4.5
96000123,96,Cà Mau,6.25,5.5,,3.1,7,,,,,,,
96000124,96,Cà Mau,8.25,8.25,7.5,,,,8.25,,,,,
96000125,96,Cà Mau,2.85,5.75,3.75,,,,7.75,,,,,
96000126,96,Cà Mau,4.5,6,3.25,,,,8.25,,,,,
96000127,96,Cà Mau,5.5,5.5,,,,5.75,,,,,,Công nghệ nông nghiệp=7.5
96000128,96,Cà Mau,8.75,7.75,7.25,,,,,9.25,,,,
96000129,96,Cà Mau,6.75,8,,5.35,,,9.25,,,,,
96000130,96,Cà Mau,3.75,6.5,,,,,5.75,,,,,Công nghệ nông nghiệp=7
96000131,96,Cà Mau,8.25,6.25,,8.5,6.5,,,,,,,
96000132,96,Cà Mau,4.5,6.75,,,,,7.25,6.25,,,,
96000133,96,Cà Mau,8.25,6.75,,,7,6.5,,,,,,
96000134,96,Cà Mau,7.5,7.58,2.75,,,,9,,,,,
96000135,96,Cà Mau,5.25,7.25,,2.85,,,5.85,,,,,
96000136,96,Cà Mau,5,6.5,,,,,,5.75,,,,Giáo dục kinh tế pháp luật=5.1
96000137,96,Cà Mau,7,7.75,5.5,,,,8,,,,,
96000138,96,Cà Mau,9,6.42,5.75,,,,,,,,,Giáo dục kinh tế pháp luật=6.5
96000139,96,Cà Mau,7.5,8.25,,4.85,,,8.5,,,,,
96000140,96,Cà Mau,6,6.5,,,,5.5,,,,,,Giáo dục kinh tế pháp luật=6
96000141,96,Cà Mau,7.5,7.25,,7,8.1,,,,,,,
96000142,96,Cà Mau,8.5,7.75,8.75,,,,,,,,,Công nghệ công nghiệp=9.75
96000143,96,Cà Mau,8.5,7.75,7.5,,,,,7,,,,
96000144,96,Cà Mau,2.95,6,,,,,4.35,,,,,Giáo dục kinh tế pháp luật=4.25
96000145,96,Cà Mau,9,7.75,,,8.25,8.25,,,,,,
96000146,96,Cà Mau,6.25,6,5.5,,,,6.6,,,,,
96000147,96,Cà Mau,9,6.75,,7.5,8.5,,,,,,,
96000148,96,Cà Mau,8.75,7,5.25,,6.75,,,,,,,
96000149,96,Cà Mau,4.25,5.75,,,,,7.5,7.5,,,,
96000150,96,Cà Mau,4.5,7.25,,,,,6,5.5,,,,
96000151,96,Cà Mau,5,7,,,,,8.75,6.25,,,,
96000152,96,Cà Mau,5.25,6.75,,4.75,6.25,,,,,,,
96000153,96,Cà Mau,7.5,6.83,7.25,,,,,,,,,Giáo dục kinh tế pháp luật=7.25
96000154,96,Cà Mau,7.75,7.5,,,,,9.25,8.5,,,,
96000155,96,Cà Mau,8.5,7,7.75,7.5,,,,,,,,
96000156,96,Cà Mau,4.25,7,,,,,,3.85,,,,Giáo dục kinh tế pháp luật=6.35
96000157,96,Cà Mau,5.5,5,,,,,6.25,5.35,,,,
96000158,96,Cà Mau,2.95,5,,,,,5.1,,,,,Công nghệ nông nghiệp=7.5
96000159,96,Cà Mau,7.75,6.75,5.75,6.25,,,,,,,,
96000160,96,Cà Mau,8.25,6.5,,8,8.5,,,,,,,
96000161,96,Cà Mau,10,7,,,8.25,9.25,,,,,,
96000162,96,Cà Mau,4.5,5.75,,,,,,5,,,,Giáo dục kinh tế pháp luật=5.75
96000163,96,Cà Mau,4.5,6.5,,,,,6.5,,,,,Giáo dục kinh tế pháp luật=6.1
96000164,96,Cà Mau,9,7.5,7.25,7.5,,,,,,,,
96000165,96,Cà Mau,7.25,7.42,3.75,8.5,,,,,,,,
96000166,96,Cà Mau,8,7.75,,,8.5,6.35,,,,,,
96000167,96,Cà Mau,8.5,6.25,,,8.25,7.5,,,,,,
96000168,96,Cà Mau,7.25,7.5,4.25,7.25,,,,,,,,
96000169,96,Cà Mau,9.5,6.75,,,9,9.75,,,,,,
96000170,96,Cà Mau,3.35,4.5,,3.5,,,5.6,,,,,
96000171,96,Cà Mau,3.85,6.5,,,,,5.75,,,,,Công nghệ nông nghiệp=9.25
96000172,96,Cà Mau,7,7,,,5.85,6,,,,,,
96000173,96,Cà Mau,5.5,6,,,,,,4.85,,,,Giáo dục kinh tế pháp luật=4.1
96000174,96,Cà Mau,4.5,7,,,,,7.75,7,,,,
96000175,96,Cà Mau,3.75,6.75,,,,,4.35,,,5.6,,
96000176,96,Cà Mau,2.1,4.25,,,,,5.25,,,,,Giáo dục kinh tế pháp luật=4.5
96000177,96,Cà Mau,5.75,6.75,,,,,,6.75,,6.5,,
96000178,96,Cà Mau,5.5,5.75,,,,4.85,,,,,,Công nghệ nông nghiệp=8
96000179,96,Cà Mau,8,6.5,,7,9.5,,,,,,,
96000180,96,Cà Mau,9,5.75,,8.25,8.75,,,,,,,
96000181,96,Cà Mau,6.25,5,,3.85,7.1,,,,,,,
96000182,96,Cà Mau,9,7,,6.25,6.5,,,,,,,
96000183,96,Cà Mau,9.25,7,,8.25,8.75,,,,,,,
96000184,96,Cà Mau,8.75,6.5,,8,9.25,,,,,,,
96000185,96,Cà Mau,5.75,8.25,,,,,9.5,9,,,,
96000186,96,Cà Mau,5,6.5,,2.95,,5.35,,,,,,
96000187,96,Cà Mau,3,5.5,,,,,7,4,,,,
96000188,96,Cà Mau,8,6.5,,5.85,4.85,,,,,,,
96000189,96,Cà Mau,5.75,6.5,,,,,7,7.35,,,,
96000190,96,Cà Mau,4,5,,,,,7.5,,,,,Công nghệ nông nghiệp=7.85
96000191,96,Cà Mau,8.5,6.75,4.75,,,,9,,,,,
96000192,96,Cà Mau,8.5,6.25,7,7.5,,,,,,,,
96000193,96,Cà Mau,9.5,7.25,,,9.75,9.25,,,,,,
96000194,96,Cà Mau,4.5,6.5,,,,,5,5.85,,,,
