sbd,province_code,province_name,toan,ngu_van,ngoai_ngu,vat_li,hoa_hoc,sinh_hoc,lich_su,dia_li,gdcd,tin_hoc,cong_nghe,extra
20000084,20,Lạng Sơn,2.75,3.25,,,,,5.25,2.95,,,,
20000086,20,Lạng Sơn,6.25,8.75,,,,,9.75,6.75,,,,
20000087,20,Lạng Sơn,5.5,7.5,3.75,,,,8,,,,,
20000088,20,Lạng Sơn,8.75,6.25,,7.75,5.45,,,,,,,
20000089,20,Lạng Sơn,7.5,7.75,7.25,4,,,,,,,,
20000090,20,Lạng Sơn,7.25,8,6.75,,7.5,,,,,,,
20000091,20,Lạng Sơn,8,7.25,5.5,,,7.25,,,,,,
20000092,20,Lạng Sơn,7,8.25,7,,6.75,,,,,,,
20000093,20,Lạng Sơn,8.25,7.5,8.5,,,,,7.75,,,,
20000094,20,Lạng Sơn,8.25,7.25,6.25,,7.5,,,,,,,
20000095,20,Lạng Sơn,7.75,7,8,,,,,7.5,,,,
20000096,20,Lạng Sơn,8,7.5,,,8,7.25,,,,,,
20000097,20,Lạng Sơn,6.35,7.75,4,,,,9,,,,,
20000098,20,Lạng Sơn,8.75,7.75,,7.5,8,,,,,,,
20000099,20,Lạng Sơn,8.25,6.5,,,,,7,4.35,,,,
20000100,20,Lạng Sơn,2.35,1.75,,,,,2.95,2.85,,,,
20000101,20,Lạng Sơn,9,7.5,8,7.5,,,,,,,,
20000102,20,Lạng Sơn,,4.75,,,,,8.5,6.25,,,,
20000103,20,Lạng Sơn,,2.75,,,,,5.85,5,,,,
20000104,20,Lạng Sơn,6.25,,3.5,3.1,,,,,,,,
20000105,20,Lạng Sơn,,3.5,,,,,5.75,5.5,,,,
20000106,20,Lạng Sơn,3.75,6,,,,,5.1,4.75,,,,
20000107,20,Lạng Sơn,9,6.25,5.75,8.75,,,,,,,,
20000109,20,Lạng Sơn,3,3.5,,,,,5.25,3.35,,,,
20000110,20,Lạng Sơn,2.75,1.75,,,,,3.6,3,,,,
20000111,20,Lạng Sơn,2.45,3,,,,,5.6,5,,,,
20000112,20,Lạng Sơn,4.25,5,,,,,7.5,,,,,
20000113,20,Lạng Sơn,,6.25,,,,,9,6.1,,,,
20000114,20,Lạng Sơn,7.75,6.5,,4.75,8,,,,,,,
20000115,20,Lạng Sơn,6.75,7.5,6.25,,,,6.25,,,,,
20000116,20,Lạng Sơn,7.5,7.25,6.75,4.5,,,,,,,,
20000117,20,Lạng Sơn,2.1,2.25,,,,,3.1,1.8,,,,
20000118,20,Lạng Sơn,8.75,6,,7.25,7.5,,,,,,,
20000119,20,Lạng Sơn,8,5.75,,7.25,7.25,,,,,,,
20000120,20,Lạng Sơn,8.25,7,6.5,6.5,,,,,,,,
20000121,20,Lạng Sơn,9.5,6,,7.35,7.25,,,,,,,
20000122,20,Lạng Sơn,7,7,3.5,4.75,,,,,,,,
20000123,20,Lạng Sơn,7.5,8.5,7.75,,,,,8.5,,,,
20000124,20,Lạng Sơn,3,5.5,,,,,4.25,3.1,,,,
