sbd,province_code,province_name,toan,ngu_van,ngoai_ngu,vat_li,hoa_hoc,sinh_hoc,lich_su,dia_li,gdcd,tin_hoc,cong_nghe,extra
42000073,42,Hà Tĩnh,5.75,7.5,,,,,,4.5,,,,Giáo dục kinh tế pháp luật=6.1
42000074,42,Hà Tĩnh,6,7,,,,,,7.25,,,,Giáo dục kinh tế pháp luật=6.75
42000075,42,Hà Tĩnh,7,7.25,3,,,,,5.75,,,,
42000076,42,Hà Tĩnh,3.75,7,,,,,5.25,3.1,,,,
42000077,42,Hà Tĩnh,4.5,6.5,,,,,4.1,1.85,,,,
42000078,42,Hà Tĩnh,8.5,,,8.5,8,,,,,,,
42000079,42,Hà Tĩnh,8.75,7,,,6.75,5.75,,,,,,
42000080,42,Hà Tĩnh,6.25,6,,,,,4.5,2.2,,,,
42000081,42,Hà Tĩnh,4.25,4.25,,,,,4.85,5.85,,,,
42000082,42,Hà Tĩnh,7,6.75,3,5,,,,,,,,
42000083,42,Hà Tĩnh,6,6.75,,,,,5.25,5.5,,,,
42000084,42,Hà Tĩnh,7,7,4.25,,,,6.5,,,,,
42000085,42,Hà Tĩnh,4.75,7.25,,,,,9.25,7.75,,,,
42000086,42,Hà Tĩnh,4,5.75,,,,,5.6,2.75,,,,
42000087,42,Hà Tĩnh,5,6.25,,,,,5.25,5.1,,,,
42000088,42,Hà Tĩnh,8.5,8,4.75,,,,,8.25,,,,
42000089,42,Hà Tĩnh,5.75,7,,,,,,3.75,,,,Giáo dục kinh tế pháp luật=5.1
42000090,42,Hà Tĩnh,4,5,,,,,4.25,4.35,,,,
42000091,42,Hà Tĩnh,4.5,7.25,3.25,,,,,5.85,,,,
42000092,42,Hà Tĩnh,5.75,7.25,,,,,,7.25,,,,Giáo dục kinh tế pháp luật=4.1
42000093,42,Hà Tĩnh,6.25,6.75,3.75,,,,,6.25,,,,
42000094,42,Hà Tĩnh,7.5,6,,,,,8.25,6.25,,,,
42000095,42,Hà Tĩnh,6.25,7.25,,6.25,7.25,,,,,,,
42000096,42,Hà Tĩnh,3.35,6,,,,,5.75,4,,,,
42000097,42,Hà Tĩnh,5.75,7.75,,,,,,7,,,,Giáo dục kinh tế pháp luật=4.35
42000098,42,Hà Tĩnh,4.5,5.75,,,,,6.2,6,,,,
42000099,42,Hà Tĩnh,7.5,8.25,6.5,,,,8.5,,,,,
42000100,42,Hà Tĩnh,7.25,7.75,,,5.6,4,,,,,,
42000101,42,Hà Tĩnh,8,8.5,4,,,,8.5,,,,,
42000102,42,Hà Tĩnh,8,7.5,,,,,9.75,7.5,,,,
42000103,42,Hà Tĩnh,7.25,7.5,3.5,,,,,7.25,,,,
42000104,42,Hà Tĩnh,6,8.25,4.5,,,,,7,,,,
42000105,42,Hà Tĩnh,4.75,5.75,,,,,3.35,5.25,,,,
42000106,42,Hà Tĩnh,5.35,7.75,,,,,,7.25,,,,Giáo dục kinh tế pháp luật=4.5
42000107,42,Hà Tĩnh,8.75,7.5,,6,8.75,,,,,,,
42000108,42,Hà Tĩnh,7.5,6.5,,,,,9,7.75,,,,
42000109,42,Hà Tĩnh,6.25,7,3,,,,,8,,,,
42000110,42,Hà Tĩnh,5.35,6.25,,,,,,5.75,,,,Giáo dục kinh tế pháp luật=4.7
42000111,42,Hà Tĩnh,7,5.75,,3.75,,,,,,,,
42000112,42,Hà Tĩnh,4.25,5.75,,,,,4.1,3.35,,,,
42000113,42,Hà Tĩnh,5.5,6,,,,,6,6.25,,,,
42000114,42,Hà Tĩnh,9.25,6.5,,9,9,,,,,,,
42000115,42,Hà Tĩnh,7,6.75,,,,,8.25,,,,,
42000116,42,Hà Tĩnh,3.75,6,,,,,7,4.5,,,,
42000117,42,Hà Tĩnh,6.5,5.75,,,,,,4.75,,,,Giáo dục kinh tế pháp luật=6.5
42000118,42,Hà Tĩnh,5.5,6,,,,,,4.75,,,,Giáo dục kinh tế pháp luật=2.05
42000119,42,Hà Tĩnh,7,7,,,,,,7,,,,Giáo dục kinh tế pháp luật=6.5
42000120,42,Hà Tĩnh,5.5,6.25,,,,,5,6,,,,
42000121,42,Hà Tĩnh,5.75,8,,,,,,7.25,,,,Giáo dục kinh tế pháp luật=5.25
42000122,42,Hà Tĩnh,5.6,6.5,5.25,,,,,5.85,,,,
42000123,42,Hà Tĩnh,4.75,6.75,,,,,6.25,5.5,,,,
42000124,42,Hà Tĩnh,5.25,6,,,,,6.5,,,,,Giáo dục kinh tế pháp luật=4.85
42000125,42,Hà Tĩnh,8.25,7.5,4,4.75,,,,,,,,
42000126,42,Hà Tĩnh,5.5,5.75,,,,,4.25,5.1,,,,
42000127,42,Hà Tĩnh,2.85,5.5,,,,,5.75,3.5,,,,
42000128,42,Hà Tĩnh,9,6.75,,,7.5,7.75,,,,,,
42000129,42,Hà Tĩnh,5.25,7.5,5.5,,,,,5.5,,,,
42000130,42,Hà Tĩnh,4.75,7.25,7,,,,,5.6,,,,
42000131,42,Hà Tĩnh,7.25,8,,,,,7.25,6.5,,,,
42000132,42,Hà Tĩnh,4.25,7.5,,,,,,6.6,,,,Giáo dục kinh tế pháp luật=7.5
42000133,42,Hà Tĩnh,6.75,7.75,,,,,,8.5,,,,Giáo dục kinh tế pháp luật=6.75
42000134,42,Hà Tĩnh,5.1,7.5,,,,,,6.5,,,,Giáo dục kinh tế pháp luật=4.6
42000135,42,Hà Tĩnh,2.8,7,,,,,3.85,3.1,,,,
42000136,42,Hà Tĩnh,7.75,8,5,7,,,,,,,,
42000137,42,Hà Tĩnh,4,6.75,,,,,4.5,4.25,,,,
42000139,42,Hà Tĩnh,5.5,6.5,4,,,,,6.25,,,,
42000140,42,Hà Tĩnh,7.5,6,6.25,,,,,7.5,,,,
42000141,42,Hà Tĩnh,5.25,5.25,,,,,5,5.35,,,,
42000142,42,Hà Tĩnh,7.25,6,5.75,,5.5,,,,,,,
42000143,42,Hà Tĩnh,7.25,5.25,2.75,6.5,,,,,,,,
42000144,42,Hà Tĩnh,8.5,6.75,5.5,,,,,8.5,,,,
42000145,42,Hà Tĩnh,3.35,7.25,,,,,5,4.85,,,,
42000146,42,Hà Tĩnh,5.25,6.5,,3.75,,4.5,,,,,,
42000147,42,Hà Tĩnh,6.25,7.5,,,,,,4.85,,,,Giáo dục kinh tế pháp luật=6.6
42000148,42,Hà Tĩnh,6.75,7.25,,,,,5.75,5.35,,,,
42000149,42,Hà Tĩnh,5.25,6.5,,,,,6,6.5,,,,
42000150,42,Hà Tĩnh,5.25,7.5,,,,,7.25,5.35,,,,
42000151,42,Hà Tĩnh,5.25,6.25,,,,,7,2.95,,,,
42000152,42,Hà Tĩnh,4.75,7.25,,,,,5.75,6.25,,,,
42000153,42,Hà Tĩnh,8,5.5,,7.5,8.1,,,,,,,
42000154,42,Hà Tĩnh,4.75,5.75,,,,,4.85,6.75,,,,
42000155,42,Hà Tĩnh,8,7.5,,6.5,7.75,,,,,,,
42000156,42,Hà Tĩnh,9,7.5,3,,,,,7.5,,,,
42000157,42,Hà Tĩnh,7.5,8.75,4.75,,,,9,,,,,
42000158,42,Hà Tĩnh,8,8.25,3.75,,,,9.25,,,,,
42000159,42,Hà Tĩnh,5.25,7,,,,,,5.75,,,,Giáo dục kinh tế pháp luật=7.5
42000160,42,Hà Tĩnh,4.75,7,,4.25,5.75,,,,,,,
42000161,42,Hà Tĩnh,5.5,7.5,,,,,,6,,,,Giáo dục kinh tế pháp luật=5.6
42000162,42,Hà Tĩnh,6,8.5,,,,,,6.75,,,,Giáo dục kinh tế pháp luật=6.75
42000163,42,Hà Tĩnh,7.75,9,3,,,,10,,,,,
42000164,42,Hà Tĩnh,7.75,7.5,4.5,,,,7.35,,,,,
42000165,42,Hà Tĩnh,6.5,8.25,6.25,,,,,6.5,,,,
42000166,42,Hà Tĩnh,7.5,7.5,4.25,,,,8.5,,,,,
42000167,42,Hà Tĩnh,5.5,7.25,,,,,,7,,,,Giáo dục kinh tế pháp luật=7
